matricula_hash,estado,cantidad_consorcios,tiene_sanciones
8fcfcdca8857504b,SIN ACTUALIZAR,0,No
e0b909c9cd0ae0ee,SIN ACTUALIZAR,0,No
802f83b07350b6d7,SIN ACTUALIZAR,0,No
a4cf2e205690fcb7,ACTIVA,0,No
e56fd4d103751c5d,ACTIVA,0,No
c79e816beba44306,SIN ACTUALIZAR,0,No
fc6b5f835bfb2269,SIN ACTUALIZAR,0,No
fb5161f58913bc84,ACTIVA,0,Sí
74f43b441dde988e,SIN ACTUALIZAR,0,No
53a72a652c0c6a17,SIN ACTUALIZAR,0,No
d2eab4577a3a085e,SIN ACTUALIZAR,0,No
6014927db7295c44,SIN ACTUALIZAR,0,No
72a1917673994c23,SIN ACTUALIZAR,0,No
a1defa0ee34a2a89,SIN ACTUALIZAR,0,No
b8d07ead18dedcd1,SIN ACTUALIZAR,0,No
f47dc630419bbb41,SIN ACTUALIZAR,0,No
3c9d76b5ae048c6a,ACTIVA,0,No
47f7cb5f38bb9e43,SIN ACTUALIZAR,0,No
c715784eb51b3343,SIN ACTUALIZAR,0,No
c7e3f463d4025ecb,SIN ACTUALIZAR,0,No
194baa85752f77a2,SIN ACTUALIZAR,0,No
65db2a4cadb86eb9,ACTIVA,0,No
18dbc8b5f67f4343,ACTIVA,0,No
1dc9ed58760e736c,SIN ACTUALIZAR,0,No
6c02b28e39628d8b,ACTIVA,0,No
f59096cc9862c62e,SIN ACTUALIZAR,0,No
70d763fa791dacd0,SIN ACTUALIZAR,0,Sí
6c5a65050bba2e6d,SIN ACTUALIZAR,0,No
780e011aeae56513,SIN ACTUALIZAR,0,No
442a94e30c5456e0,SIN ACTUALIZAR,0,No
df1d05a7dac2d676,ACTIVA,0,No
7420b9f13772ae1f,SIN ACTUALIZAR,0,No
405d26917802a342,SIN ACTUALIZAR,0,No
50ceb5e2bf813e9b,SIN ACTUALIZAR,0,No
31f19e32a25cc52b,ACTIVA,0,No
b0d93f60cd493a88,SIN ACTUALIZAR,0,No
c37b474b90d9d200,SIN ACTUALIZAR,0,No
76d778e3c820b0ae,SIN ACTUALIZAR,0,No
4480862dbb900999,SIN ACTUALIZAR,0,No
aa5fecaacfeb6886,SIN ACTUALIZAR,0,No
a2b476602bedef76,SIN ACTUALIZAR,0,No
33b9024b20790969,SIN ACTUALIZAR,0,No
7fef058be9e899be,SIN ACTUALIZAR,0,No
de96f8141d4a034c,ACTIVA,0,No
9a7dfa7508017045,ACTIVA,0,No
627339e4eed81c56,SIN ACTUALIZAR,0,No
e162e30a5a4c1e44,SIN ACTUALIZAR,0,No
5264efea3b4678d5,SIN ACTUALIZAR,0,No
8a34427d232ab293,SIN ACTUALIZAR,0,No
4bc3e7387bd3e8cc,SIN ACTUALIZAR,0,No
7ccca88c4b0e8602,SIN ACTUALIZAR,0,No
0cc1d9ba93d32ae7,SIN ACTUALIZAR,0,No
89e2ad84183b2f9c,SIN ACTUALIZAR,0,No
73d16bdd2edd4767,SIN ACTUALIZAR,0,No
38986fc1ce5e4b15,SIN ACTUALIZAR,0,No
8869e759689a2f47,SIN ACTUALIZAR,0,No
b9606df4fbc2d7bb,SIN ACTUALIZAR,0,No
223756b404408b5a,SIN ACTUALIZAR,0,No
dce1a79f6d2e8530,SIN ACTUALIZAR,0,No
8640b8877f24bf73,SIN ACTUALIZAR,0,No
ff0483c4b97b9a27,SIN ACTUALIZAR,0,No
e3e15853e9ac866a,SIN ACTUALIZAR,0,No
e6ae3ef88772362b,SIN ACTUALIZAR,0,No
fbbaecec6528d906,SIN ACTUALIZAR,0,No
3a79abdccb2df524,SIN ACTUALIZAR,1,No
02006319c292b288,SIN ACTUALIZAR,1,No
39d252f88dec484e,SIN ACTUALIZAR,0,No
a0027863dd7419e5,SIN ACTUALIZAR,0,No
5ce9c3c03b9f6c1b,SIN ACTUALIZAR,0,No
dcecd385d9a8aae5,SIN ACTUALIZAR,1,No
58225bc7d01d6383,SIN ACTUALIZAR,1,No
8e9b669109df8962,SIN ACTUALIZAR,3,No
03a74aef26160460,SIN ACTUALIZAR,1,No
30f5861cb4dbcdda,SIN ACTUALIZAR,0,No
65bba5fb79d7da91,SIN ACTUALIZAR,0,No
43a599e19e8e2c7b,SIN ACTUALIZAR,1,No
6fe79ab1802c7c29,SIN ACTUALIZAR,3,No
d672e9fb368dcc07,SIN ACTUALIZAR,1,No
f3216ee25480efdc,SIN ACTUALIZAR,1,No
6592e596d7db6dd0,SIN ACTUALIZAR,0,No
bfaa492bc1eb6c25,SIN ACTUALIZAR,1,No
3b297c8441c7b0ad,SIN ACTUALIZAR,0,No
99195ce96f90d988,SIN ACTUALIZAR,1,No
cc85ec52984d923b,SIN ACTUALIZAR,2,No
531cc7ed4fd3f296,SIN ACTUALIZAR,2,No
36486ce645c17c3e,SIN ACTUALIZAR,0,No
2805045f2ffd81fe,SIN ACTUALIZAR,3,No
2785acc469f0f87f,SIN ACTUALIZAR,1,No
d4e5f572c02d22df,SIN ACTUALIZAR,1,No
d15a33ab1781cad3,SIN ACTUALIZAR,1,No
33fc8fd5858e16b5,SIN ACTUALIZAR,0,No
97c6278d46302a1c,SIN ACTUALIZAR,2,No
18288ea285126233,SIN ACTUALIZAR,1,No
c58e4714a03093fc,SIN ACTUALIZAR,2,No
11e3e1439725aa95,SIN ACTUALIZAR,1,No
5089eecd7d01e5cd,SIN ACTUALIZAR,2,No
aff3f9448ca917cc,SIN ACTUALIZAR,1,No
adec925622623b13,ACTIVA,1,No
d1961d93755e10b9,SIN ACTUALIZAR,2,No
434c8653c15154e3,ACTIVA,1,No
4557b3c2bc31d360,SIN ACTUALIZAR,1,No
d2eb1321b626526b,SIN ACTUALIZAR,1,No
aa3e744d9ea1bfef,SIN ACTUALIZAR,1,No
cad6ddf10c7f185b,SIN ACTUALIZAR,1,No
34687244ea3d9b95,SIN ACTUALIZAR,1,No
f8818b67ab25419a,SIN ACTUALIZAR,2,No
81ac2f2cb950fa8b,SIN ACTUALIZAR,1,No
938eb3a8b8482b9a,SIN ACTUALIZAR,1,No
913de1781a2e4c77,SIN ACTUALIZAR,1,No
31406b7edabf803e,SIN ACTUALIZAR,1,No
ef3babdb61c0b210,SIN ACTUALIZAR,1,Sí
a5215e527a9a6789,SIN ACTUALIZAR,1,No
9ce4582defc4f749,SIN ACTUALIZAR,1,No
4dd6e117403f7d2f,SIN ACTUALIZAR,1,No
31118b37ff1032d7,SIN ACTUALIZAR,1,No
3e4c5ea9ed3349cd,SIN ACTUALIZAR,1,No
58a60bfe9d4c2b53,SIN ACTUALIZAR,1,No
269718955c433cd7,SIN ACTUALIZAR,1,No
363e0f6349942493,SIN ACTUALIZAR,1,No
3a243721a850f8e7,SIN ACTUALIZAR,1,No
ee009e2ffac75231,SIN ACTUALIZAR,1,No
6490459afe158f1d,ACTIVA,1,No
cb683decb8387660,SIN ACTUALIZAR,1,No
c36ed68ae622fabb,SIN ACTUALIZAR,1,No
dccadbe319b8a710,SIN ACTUALIZAR,1,No
ad3152bfd262652d,SIN ACTUALIZAR,1,No
c28bb74ebc73c7f1,ACTIVA,1,No
dc06d838cc760431,ACTIVA,2,No
2539b1fe79aca4da,ACTIVA,2,No
fe5df0a324f30601,SIN ACTUALIZAR,0,No
8969386b5c06b725,SIN ACTUALIZAR,0,No
3c29c2a1990285a1,SIN ACTUALIZAR,0,No
4acff813968c43e5,SIN ACTUALIZAR,0,No
f7d1b16c80e7ffec,SIN ACTUALIZAR,0,No
e64ae89c4ffe74d5,SIN ACTUALIZAR,0,No
f4a7913abc8301d5,SIN ACTUALIZAR,0,No
0517000265bb9f55,SIN ACTUALIZAR,0,No
a6a45099a14f1293,SIN ACTUALIZAR,0,No
f87d99d2bde905e3,ACTIVA,0,No
01992d25e0799c8a,SIN ACTUALIZAR,0,No
d43d505c735f10f5,SIN ACTUALIZAR,0,No
f5aa0bf981ec8348,SIN ACTUALIZAR,0,No
a1437f4d7c5982c9,SIN ACTUALIZAR,0,No
49f53324c17c3685,SIN ACTUALIZAR,0,No
924e2ab452b70395,SIN ACTUALIZAR,0,No
4b806fced4d498b5,ACTIVA,0,No
e73d714cf39a2fbb,SIN ACTUALIZAR,0,No
f043f4cd71b24757,SIN ACTUALIZAR,0,No
720c122a82aa43d0,SIN ACTUALIZAR,0,No
b2b20c1abf5b17b6,SIN ACTUALIZAR,0,No
87c79adac2b7eb02,SIN ACTUALIZAR,0,No
2a5b277c00294edc,SIN ACTUALIZAR,0,No
6dfd9d97502d7511,SIN ACTUALIZAR,0,No
78fe5aa67ba8404c,SIN ACTUALIZAR,0,No
07c4e8f4a0ee0a21,SIN ACTUALIZAR,0,No
7c18b1b4917ef122,SIN ACTUALIZAR,0,No
5a74b357c7ee58b2,SIN ACTUALIZAR,0,No
e157048c2e0ae60e,ACTIVA,0,No
b5f22732fe131091,SIN ACTUALIZAR,0,No
53adcdbaf97dc15a,SIN ACTUALIZAR,0,No
4363f8919a5437a8,SIN ACTUALIZAR,0,No
6f77e9fe9fc9542a,SIN ACTUALIZAR,0,No
f1ab79f4de08af2a,SIN ACTUALIZAR,0,No
7d84d3a67d7c31c0,SIN ACTUALIZAR,0,No
a6b679affb7c2ae4,SIN ACTUALIZAR,0,No
43c87bc7524d7e7f,SIN ACTUALIZAR,0,No
401c06318c53f444,ACTIVA,0,No
cd05b2c76a94243d,SIN ACTUALIZAR,0,No
ebe462ea3fafd8c8,SIN ACTUALIZAR,0,No
60e189d52cf7ba51,SIN ACTUALIZAR,0,No
a8faac45b886c70f,SIN ACTUALIZAR,0,No
94e75e9e0ab141be,SIN ACTUALIZAR,0,No
b31e8ef646feded6,SIN ACTUALIZAR,0,No
9905899bc2847193,ACTIVA,0,No
dc0f6faeefb492db,SIN ACTUALIZAR,0,No
e1d8ef8bc263b95d,SIN ACTUALIZAR,0,No
2149a48b1870a59f,SIN ACTUALIZAR,0,No
5e057cc1304ee9a0,SIN ACTUALIZAR,0,No
66ea4b77c3a4b7a9,SIN ACTUALIZAR,0,No
2be780a2a44bc8f8,SIN ACTUALIZAR,0,No
aac462ccf1c000b3,SIN ACTUALIZAR,0,No
d6eb8df9d65094db,SIN ACTUALIZAR,0,No
b933ddb19b175bb9,SIN ACTUALIZAR,0,No
96f40d523d68ad6f,ACTIVA,0,No
eb9850874f4958a8,SIN ACTUALIZAR,0,No
384856b6029eb102,SIN ACTUALIZAR,0,No
60cbbe1b72b270bf,SIN ACTUALIZAR,0,No
92a1454c2f9359ae,SIN ACTUALIZAR,0,No
d855229c3b740b2e,ACTIVA,0,No
f34bfe87eaca3c34,SIN ACTUALIZAR,0,No
7380faecfd49afb7,SIN ACTUALIZAR,0,No
ce7f36fcca602eef,SIN ACTUALIZAR,0,No
58297c9b6f1bc2d7,SIN ACTUALIZAR,0,No
43839706eb9b699a,SIN ACTUALIZAR,0,No
6d45ab63a9074689,SIN ACTUALIZAR,0,No
45fbbe0aca48a2ab,SIN ACTUALIZAR,0,No
66dcda9b7b161e71,SIN ACTUALIZAR,0,No
acb1c2fc44d2b356,SIN ACTUALIZAR,0,No
e643a3031f9920a2,SIN ACTUALIZAR,0,No
70711490508e9e23,SIN ACTUALIZAR,0,No
1c85fbe1cc0dbb77,SIN ACTUALIZAR,0,No
8227edb8f84ea693,SIN ACTUALIZAR,0,No
d36253f2eb051f5f,ACTIVA,1,No
fa57bd66cb6354a6,SIN ACTUALIZAR,1,No
ec1a874203c55517,ACTIVA,1,No
e5fbb0b9795089c0,ACTIVA,1,No
8ff40b10c09bc56a,ACTIVA,1,No
733f3fda0606d37a,ACTIVA,2,No
554fe5cca7a65543,ACTIVA,1,No
b65b6d24572830c9,ACTIVA,1,No
30bc0a114420f0d4,ACTIVA,1,No
711de451baa6e4bb,SIN ACTUALIZAR,1,No
b530add70afb2916,SIN ACTUALIZAR,1,No
d5b8de8db1cf22f4,ACTIVA,1,No
ff02364c8aab08a5,ACTIVA,1,No
a549ac35757a2da4,SIN ACTUALIZAR,2,No
ebed4b473defaabc,SIN ACTUALIZAR,1,No
90ee6a61a7eb321d,SIN ACTUALIZAR,1,No
3a57c84908467468,SIN ACTUALIZAR,1,No
a5a72f3838b3d708,ACTIVA,1,No
a4238da765fb37b3,ACTIVA,1,No
9067aef0bbcc895b,ACTIVA,2,No
2cb5647803ac30eb,SIN ACTUALIZAR,1,No
8f78654a3df08b51,SIN ACTUALIZAR,1,No
e0c30f0a043094db,ACTIVA,1,No
e8e8c390ee664f9b,SIN ACTUALIZAR,1,No
6441cd44226ffccd,SIN ACTUALIZAR,1,No
50e6842e7bfdeb00,ACTIVA,1,No
9acec3bdc2a2cda7,SIN ACTUALIZAR,1,No
72188d5dfc1bb4da,ACTIVA,2,No
59743abb508a8061,ACTIVA,1,No
c55412dfec422925,ACTIVA,1,No
ea55a36da3758e60,ACTIVA,2,No
a7099f07753cd64c,ACTIVA,2,No
f3b7c26a0b7fdc3d,SIN ACTUALIZAR,1,No
d60967806d802e03,SIN ACTUALIZAR,4,No
f116832a0eb31d3c,SIN ACTUALIZAR,1,No
eb410a532a4654e5,ACTIVA,1,No
84b108a6ba22aa51,SIN ACTUALIZAR,2,No
862223fd8d4d636e,ACTIVA,1,No
9f655dae6190e1ed,ACTIVA,1,No
0b5580e79dfc9896,ACTIVA,1,No
cd43fbcf2e6758ba,SIN ACTUALIZAR,1,No
c79c16b4b82a5448,SIN ACTUALIZAR,1,No
3fda7b1c2c040437,SIN ACTUALIZAR,2,Sí
182b0dea8f3f2d79,ACTIVA,1,No
f13ef30924d9e20a,SIN ACTUALIZAR,1,No
3568b95554d7b990,SIN ACTUALIZAR,1,No
89514970e1e20297,ACTIVA,1,No
69180e95ab814280,SIN ACTUALIZAR,1,No
39188a258774b2db,SIN ACTUALIZAR,1,No
8bf0457e471e1250,SIN ACTUALIZAR,1,No
75104c017f5f1d20,SIN ACTUALIZAR,1,No
40604cb1bfe3374a,SIN ACTUALIZAR,1,No
9313fe4d5a580ace,SIN ACTUALIZAR,1,No
44767b18f96c592e,ACTIVA,1,No
44f01ac3f1558f4c,ACTIVA,1,No
c051626e6113466d,SIN ACTUALIZAR,0,No
f44c5e0a30d5deb3,SIN ACTUALIZAR,1,No
0bb26bbb883ac23f,ACTIVA,1,No
d46a6d33d4ec1e42,SIN ACTUALIZAR,1,No
337f683f86185141,SIN ACTUALIZAR,1,No
2086b883938e4bc6,SIN ACTUALIZAR,1,No
0f9b311a8e8b48d5,SIN ACTUALIZAR,1,No
587406e10a8a94f5,SIN ACTUALIZAR,1,No
2e655ed87f6c7141,SIN ACTUALIZAR,2,No
500c945106e80c97,ACTIVA,2,No
75ca383d84678967,SIN ACTUALIZAR,1,No
4359d54d3d89e9f9,SIN ACTUALIZAR,1,No
734ad78c1d373512,SIN ACTUALIZAR,2,No
1a0e91f519c0393d,SIN ACTUALIZAR,1,No
1c33440dc578675c,SIN ACTUALIZAR,2,No
c96a5d8ae5170d9a,SIN ACTUALIZAR,1,No
3dd595f1c364df95,ACTIVA,1,No
9a831e1df0c97540,ACTIVA,1,No
d78fb37bf1fe8f75,SIN ACTUALIZAR,1,No
4bab628e74a270d0,SIN ACTUALIZAR,1,No
b3abeed147488ba3,SIN ACTUALIZAR,1,No
70c18da6f06c6019,SIN ACTUALIZAR,1,No
c4dbeaeea9808486,ACTIVA,1,No
18cff3f609168fc4,ACTIVA,1,No
2fb0f5c78100f8b7,SIN ACTUALIZAR,1,No
6a91389bf293538f,ACTIVA,1,No
b1a4664c661be7be,SIN ACTUALIZAR,1,No
ae4ea086f68f3ee8,SIN ACTUALIZAR,1,No
1431d8fee5aacd64,SIN ACTUALIZAR,1,No
66f27dc2a523e6a0,SIN ACTUALIZAR,2,No
a6a718109e546110,SIN ACTUALIZAR,1,No
0f81cabf1d072c91,SIN ACTUALIZAR,1,No
043066daf2109523,SIN ACTUALIZAR,2,No
31313149449d5274,SIN ACTUALIZAR,1,No
ec04d0809913c908,SIN ACTUALIZAR,1,No
f16b39795100947d,ACTIVA,2,No
22c4ca5d4aad0e29,SIN ACTUALIZAR,1,No
d1de4364fe0c50c5,SIN ACTUALIZAR,1,No
562ee856c2561ecf,SIN ACTUALIZAR,1,No
600cb180b5f3ecfc,SIN ACTUALIZAR,1,No
c7bf117459b94624,SIN ACTUALIZAR,2,No
de83c8c1ab866148,SIN ACTUALIZAR,1,No
7746d4fda1572a9d,SIN ACTUALIZAR,1,No
7c67244a774f1029,SIN ACTUALIZAR,1,No
445c2ca905d33514,SIN ACTUALIZAR,1,No
8fddf385e2f160a5,ACTIVA,1,No
3e872c0bb49374e4,SIN ACTUALIZAR,2,No
2aaad41b89dfad19,SIN ACTUALIZAR,1,No
0184d9cd40b59ecf,SIN ACTUALIZAR,1,No
ca7642f671fc17c3,SIN ACTUALIZAR,1,No
f26bfed326918116,SIN ACTUALIZAR,1,No
b1c7938057dcec77,SIN ACTUALIZAR,1,No
033321360f1aa969,SIN ACTUALIZAR,3,No
2cfbedf50a09b076,SIN ACTUALIZAR,2,No
8cb4ff418c6b5c4d,SIN ACTUALIZAR,1,No
38646e7018567f2b,SIN ACTUALIZAR,1,No
d7883857184801ab,SIN ACTUALIZAR,1,No
d454b7e2eeddc6df,SIN ACTUALIZAR,2,No
fb2f1a6feb861c43,ACTIVA,2,No
ba6d6e9adee18952,SIN ACTUALIZAR,1,No
204822720f83b243,SIN ACTUALIZAR,1,No
ff86d28801139f82,SIN ACTUALIZAR,1,No
5fb9e6747baabb8b,SIN ACTUALIZAR,1,No
ff44c043b9fe8d7e,SIN ACTUALIZAR,1,No
39f773b51f490fe8,SIN ACTUALIZAR,1,No
2f6a1b6f560a5a9d,SIN ACTUALIZAR,3,No
c045c9fd4d397e93,SIN ACTUALIZAR,1,No
edaa8bc3853e1f94,SIN ACTUALIZAR,1,No
e7f505979712e8a9,SIN ACTUALIZAR,1,No
f039bb52f09bae37,SIN ACTUALIZAR,1,No
9fec1108f1ecb4f3,SIN ACTUALIZAR,1,No
fa02750bf6f9eb53,SIN ACTUALIZAR,1,No
21515b45897c411d,SIN ACTUALIZAR,1,No
82ba9b272ce795cd,SIN ACTUALIZAR,2,No
193945e8c5d8a2db,SIN ACTUALIZAR,1,No
bc7773ef3acb6463,SIN ACTUALIZAR,3,No
17918fe6a941b63d,ACTIVA,2,No
84ef557b626c0d70,SIN ACTUALIZAR,1,No
b2c5fa85cd74d802,SIN ACTUALIZAR,2,No
eabc42e9671c2895,SIN ACTUALIZAR,1,No
cb6833f2df5d21e6,SIN ACTUALIZAR,1,No
55f3b2c4318b3b89,SIN ACTUALIZAR,1,No
cee4de0a0db0aa32,SIN ACTUALIZAR,2,No
6c2de034f0f34897,SIN ACTUALIZAR,1,No
6c500067255b2dd1,SIN ACTUALIZAR,2,No
9ea0a17ae2cd7b51,SIN ACTUALIZAR,1,No
badff439bb13ffd5,SIN ACTUALIZAR,1,No
ce48311acef92474,SIN ACTUALIZAR,1,No
969ed3f1080ab89a,ACTIVA,1,No
573ecbdbc1d3eb0c,SIN ACTUALIZAR,2,No
37681a2a5b6bb0e0,SIN ACTUALIZAR,1,No
060c3727b518f92a,SIN ACTUALIZAR,1,No
78cafa1455a7c00b,SIN ACTUALIZAR,1,No
155464e7a35faffd,SIN ACTUALIZAR,1,No
c220777a3969d97f,SIN ACTUALIZAR,1,No
0d762d8bde4db889,SIN ACTUALIZAR,1,No
ddb2dd39f573f1d8,ACTIVA,1,No
b478183547352ada,SIN ACTUALIZAR,0,No
323b4f3c0dc7a969,SIN ACTUALIZAR,0,No
523ee7b02cfbdd13,SIN ACTUALIZAR,1,No
e4e9e181856482c0,SIN ACTUALIZAR,1,No
76ee8ca009e6a6c6,SIN ACTUALIZAR,1,No
231c10e69d1756ef,ACTIVA,1,No
33d389e41b80558d,SIN ACTUALIZAR,1,No
e72ecedaf98691d2,SIN ACTUALIZAR,1,No
a9f80b4eaba3fd13,SIN ACTUALIZAR,1,No
459535faa370a3b5,SIN ACTUALIZAR,2,No
fcc273a8d7c05c62,ACTIVA,2,No
07c34db0f9b498e6,SIN ACTUALIZAR,1,No
b4613bfbd2f2240d,SIN ACTUALIZAR,1,No
750c5570c2cf7125,SIN ACTUALIZAR,1,No
0f8e631d28e2a339,SIN ACTUALIZAR,1,No
11e8a99b4c0365ce,SIN ACTUALIZAR,2,No
06979a58380a380e,SIN ACTUALIZAR,1,No
04529e7d46fe7afd,SIN ACTUALIZAR,1,No
459b20a336e0be54,SIN ACTUALIZAR,2,No
2ffed2d338c5d351,ACTIVA,1,No
1b2267297dc6d4f9,ACTIVA,1,No
84909c7ba11f1777,ACTIVA,1,No
a7b715232270f0b5,SIN ACTUALIZAR,1,No
fe1639622597f5e6,SIN ACTUALIZAR,1,No
311a0ae57be934ee,ACTIVA,1,No
08a3515a08a585bd,SIN ACTUALIZAR,1,No
2495f1a6b581f7d5,SIN ACTUALIZAR,1,No
c851c78a55997347,SIN ACTUALIZAR,1,No
47b36003558d1b59,ACTIVA,1,No
4d14a5995da4ce5d,ACTIVA,2,No
d15e6940c18405cc,ACTIVA,1,No
2275839bce0a7745,SIN ACTUALIZAR,1,No
a59410384afe6716,ACTIVA,1,No
3e9810d6c42015a7,SIN ACTUALIZAR,0,No
11ee4428ad4c1986,ACTIVA,1,No
ad24eef0de4c12c5,SIN ACTUALIZAR,1,No
ad6c81aeefd9094d,SIN ACTUALIZAR,2,No
2557c1c418b6b7bc,ACTIVA,2,No
79ae5bcd32198b7e,ACTIVA,2,No
6e43cccdee0793a0,SIN ACTUALIZAR,1,No
8565771b950a8d86,SIN ACTUALIZAR,3,No
3fd7dcc7254f34db,SIN ACTUALIZAR,1,No
3f96bb15bf6a0b7e,ACTIVA,2,No
62eb090b0efe65ec,ACTIVA,1,No
